year,month,site_id,market,registrations,ftds,active_players,deposit_count,unique_depositors,sports_active_players,casino_active_players,live_casino_active_players,turnover_eur,winnings_eur,ggr_eur,withdrawal_adjustments_eur,deposit_adjustments_eur,bonus_withdrawn_eur,bonus_issued_eur,cashback_eur,goodwill_amount_eur,ngr_eur,deposits_eur,ftd_amount_eur,reload_amount_eur,withdrawals_eur,net_deposits_eur,sports_turnover_eur,sports_winnings_eur,sports_ggr_eur,sports_bonus_issued_eur,sports_bonus_withdrawn_eur,sports_ngr_eur,casino_turnover_eur,casino_winnings_eur,casino_ggr_eur,casino_bonus_issued_eur,casino_bonus_withdrawn_eur,casino_ngr_eur,live_casino_turnover_eur,live_casino_winnings_eur,live_casino_ggr_eur,live_casino_ngr_eur,vip_bonus_eur,total_bonus_eur,ggr_discrepancy,ggr_calculated,ggr_consistent
2023,2,1,AR,0,0,0,0,0,0,0,0,194,0,194,0,0,0,0,0,0,194,194,0,194,0,194,194,0,194,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,194,True
2023,2,1,AT,0,0,2,46,2,2,0,0,7156,5709,1447,0,0,0,0,37,0,1422,2594,0,2594,1490,1104,6564,5106,1458,0,0,1458,0,0,0,0,0,-37,0,0,0,0,0,37,0,1447,True
2023,2,1,BG,6,0,1,2,1,0,1,0,656,570,86,0,0,0,0,0,0,85,84,18,67,0,84,0,0,0,0,0,0,656,570,85,0,0,85,0,0,0,0,0,0,0,86,True
2023,2,1,BR,2744,478,660,1909,571,197,487,121,646571,614892,31679,674,1010,3459,5214,1402,108,26553,65754,8649,57105,39370,26384,56505,52923,3582,2258,2064,1518,390391,370070,20321,2868,1395,17416,197058,188900,8158,8158,539,5508,0,31679,True
2023,2,1,CA,146,40,141,583,102,88,84,12,378206,356101,22105,7,1057,16698,14451,1158,169,4288,62950,6697,56253,64265,-1315,104189,99077,5112,1757,2051,3061,149784,138434,11350,12451,14363,-4340,120309,114459,5850,5850,0,18024,0,22105,True
2023,2,1,CH,0,0,0,6,0,0,0,0,5021,4625,396,0,0,0,0,0,0,397,622,0,622,0,622,4985,4590,396,0,0,396,0,0,0,0,0,0,1,0,1,1,0,0,0,396,True
2023,2,1,CL,429,83,115,318,98,68,58,12,81608,73446,8162,0,108,984,1441,375,8,6890,12141,2010,10131,4713,7428,23019,19191,3828,921,842,2986,55162,51321,3841,515,141,3316,3401,2813,588,588,0,1367,0,8162,True
2023,2,1,FI,481,415,1314,10378,1154,477,1061,131,4212120,3963513,248607,1896,7551,28279,27560,21447,597,194809,649695,22587,627108,445752,203944,648399,598918,49481,10680,13098,36383,3194155,3004080,190075,16365,15132,152899,347814,337324,10490,10490,4914,55236,0,248607,True
2023,2,1,HU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2023,2,1,IE,0,0,1,6,1,1,0,0,68129,66596,1533,0,0,1245,455,0,0,287,4008,0,4008,3720,287,8389,7502,887,455,1245,-358,59721,59075,646,0,0,646,0,0,0,0,0,1245,0,1533,True
2023,2,1,IN,8,0,0,0,0,0,0,0,49,59,-10,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,24,26,-2,0,0,-2,25,33,-8,-8,0,0,0,-10,True
2023,2,1,MT,4,2,4,30,4,2,2,2,18940,17693,1247,0,0,0,92,46,0,1202,1964,91,1873,812,1152,170,129,41,0,0,41,3745,3048,697,92,0,651,15025,14515,510,510,0,46,0,1247,True
2023,2,1,NG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2023,2,1,NO,215,109,427,4023,326,226,265,57,2808978,2658770,150208,96,13670,19462,17625,10082,205,118552,317388,7715,309672,200827,116560,654961,589073,65888,12188,15998,49891,1725614,1655647,69967,5254,3465,56216,423492,405442,18050,18050,5605,35354,0,150208,True
2023,2,1,NZ,40,4,11,84,9,2,9,2,37178,33760,3418,4,81,83,73,0,61,3254,6987,86,6901,3813,3174,946,753,193,4,0,193,29673,27687,1986,69,83,1842,6557,5318,1239,1239,20,164,0,3418,True
2023,2,1,PE,80,17,29,56,26,20,8,5,11688,11483,205,0,26,125,449,6,0,248,2081,1083,998,1696,385,4412,4393,19,368,117,-98,1898,1673,225,77,0,219,5155,5021,135,135,0,131,0,205,True
2023,2,1,PH,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2023,2,1,SE,148,115,958,15670,776,1,930,147,16446198,16100689,345509,4175,9961,19889,18216,42528,880,276200,912152,6645,905507,604702,307450,15,3,12,0,0,12,7407353,7078807,328545,17496,19825,265312,9038830,9021878,16952,16952,6013,69310,0,345509,True
2023,2,1,UA,1,0,0,1,0,0,0,0,126,95,31,0,0,0,0,0,0,32,32,0,32,0,32,48,36,12,0,0,12,79,59,20,0,0,20,0,0,0,0,0,0,0,31,True
2023,3,1,AM,0,0,0,1,0,0,0,0,272,202,70,0,0,0,0,0,0,70,70,18,53,0,70,0,0,0,0,0,0,272,202,70,0,0,70,0,0,0,0,0,0,0,70,True
2023,3,1,AR,3,0,1,1,1,1,0,0,197,0,197,0,0,0,0,0,0,197,197,4,193,0,197,197,0,197,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,197,True
2023,3,1,AT,0,0,2,35,2,2,0,0,4055,2368,1687,0,18,0,0,42,0,1645,1661,0,1661,74,1587,3958,2271,1687,0,0,1687,0,0,0,0,0,-42,0,0,0,0,0,42,0,1687,True
2023,3,1,BG,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2023,3,1,BR,2477,585,768,2138,696,215,593,131,645054,616936,28118,1880,991,5960,9456,1479,36,20756,74445,12380,62065,55764,18681,45365,40424,4942,2478,2884,2058,370085,350440,19645,6821,3017,15114,227242,223226,4016,4016,373,7847,0,28118,True
2023,3,1,CA,237,59,145,792,122,82,95,12,440428,404052,36376,0,1514,9819,12550,1557,66,25262,68831,8251,60579,48229,20601,103686,88657,15029,1380,2220,12809,220702,201263,19440,11016,7599,10218,115340,112869,2471,2471,236,11677,0,36376,True
2023,3,1,CH,0,0,0,23,0,0,0,0,7241,6643,598,0,0,0,86,0,0,866,1900,0,1900,1050,850,7241,6376,866,86,0,866,0,0,0,0,0,0,0,0,0,0,0,0,0,598,True
2023,3,1,CL,338,70,117,413,97,71,55,8,81692,74220,7472,0,209,810,1542,336,0,7171,15702,1699,14003,8300,7402,27841,24000,3841,838,133,3708,43053,38991,4062,689,676,3050,10751,10288,463,463,51,1196,0,7472,True
2023,3,1,DE,0,0,0,0,0,0,0,0,0,0,0,0,543,0,0,0,0,0,0,0,0,543,-543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
