"Month, Year",Casino Reference,Country,Game category,Table Type Commercial,Table name,user_currency,Month of first_bet_date,GGR Ucur,Wager Ucur,Player Game Count,Bet Spot Count,Year,Quarter,Month_Name,Hold_Pct,Table_Type_Simplified
2020-07-01,Lipstick Casino,Estonia,Baccarat,Other,Baccarat A,EUR,January,2.0,85,4,4,2020,3,July,0.023529411764705882,Regular
2020-07-01,Lipstick Casino,Estonia,Baccarat,Other,Baccarat B,EUR,January,-78.0,184,3,3,2020,3,July,-0.42391304347826086,Regular
2020-07-01,Lipstick Casino,Estonia,Baccarat,Other,Baccarat B,EUR,March,-35.0,35,1,1,2020,3,July,-1.0,Regular
2020-07-01,Lipstick Casino,Estonia,Baccarat,Other,Baccarat C,EUR,January,-25.0,25,1,1,2020,3,July,-1.0,Regular
2020-07-01,Lipstick Casino,Estonia,Baccarat,Other,First Person Baccarat,EUR,January,2.0,2,2,2,2020,3,July,1.0,Regular
2020-07-01,Lipstick Casino,Estonia,Baccarat,Other,First Person Baccarat,EUR,July,0.0,2,1,2,2020,3,July,0.0,Regular
2020-07-01,Lipstick Casino,Estonia,Baccarat,Other,Speed Baccarat A,EUR,January,169.0,1163,35,35,2020,3,July,0.14531384350816853,Regular
2020-07-01,Lipstick Casino,Estonia,Baccarat,Other,Speed Baccarat A,EUR,March,-269.0,9351,1137,1169,2020,3,July,-0.028766976793925782,Regular
2020-07-01,Lipstick Casino,Estonia,Baccarat,Other,Speed Baccarat A,EUR,June,-428.0,4705,191,191,2020,3,July,-0.09096705632306057,Regular
2020-07-01,Lipstick Casino,Estonia,Baccarat,Other,Speed Baccarat A,EUR,July,0.0,6,3,3,2020,3,July,0.0,Regular
2020-07-01,Lipstick Casino,Estonia,Baccarat,Other,Speed Baccarat A,EUR,December,7.0,41,16,16,2020,3,July,0.17073170731707318,Regular
2020-07-01,Lipstick Casino,Estonia,Baccarat,Other,Speed Baccarat B,EUR,January,-20.0,289,26,26,2020,3,July,-0.06920415224913495,Regular
2020-07-01,Lipstick Casino,Estonia,Baccarat,Other,Speed Baccarat B,EUR,March,20.0,600,93,94,2020,3,July,0.03333333333333333,Regular
2020-07-01,Lipstick Casino,Estonia,Baccarat,Other,Speed Baccarat B,EUR,June,-180.0,2063,119,119,2020,3,July,-0.08725157537566651,Regular
2020-07-01,Lipstick Casino,Estonia,Baccarat,Other,Speed Baccarat B,EUR,December,-3.0,7,5,5,2020,3,July,-0.42857142857142855,Regular
2020-07-01,Lipstick Casino,Estonia,Baccarat,Other,Speed Baccarat C,EUR,January,-50.0,90,7,7,2020,3,July,-0.5555555555555556,Regular
2020-07-01,Lipstick Casino,Estonia,Blackjack,High Stakes Generic,Blackjack Silver B,EUR,January,50.0,50,1,1,2020,3,July,1.0,High Stakes
2020-07-01,Lipstick Casino,Estonia,Blackjack,High Stakes Generic,Blackjack Silver B,EUR,November,-138.0,475,7,16,2020,3,July,-0.2905263157894737,High Stakes
