"year","month","site_id","market","registrations","ftds","active_players","deposit_count","unique_depositors","sports_active_players","casino_active_players","live_casino_active_players","turnover_eur","winnings_eur","ggr_eur","withdrawal_adjustments_eur","deposit_adjustments_eur","bonus_withdrawn_eur","bonus_issued_eur","cashback_eur","goodwill_amount_eur","ngr_eur","deposits_eur","ftd_amount_eur","reload_amount_eur","withdrawals_eur","net_deposits_eur","sports_turnover_eur","sports_winnings_eur","sports_ggr_eur","sports_bonus_issued_eur","sports_bonus_withdrawn_eur","sports_ngr_eur","casino_turnover_eur","casino_winnings_eur","casino_ggr_eur","casino_bonus_issued_eur","casino_bonus_withdrawn_eur","casino_ngr_eur","live_casino_turnover_eur","live_casino_winnings_eur","live_casino_ggr_eur","live_casino_ngr_eur","vip_bonus_eur","total_bonus_eur"
"2,023","2","1","AR","  0 ","0","  0 ","  0 ","  0 ","  0 ","0","0","  194 ","0","  194 ","0","0","0","0","0","0","  194 ","  194 ","0","  194 ","0","  194 ","  194 ","0","  194 ","0","0","  194 ","0","0","0","0","0","0","0","0","0","0","0","0"
"2,023","2","1","AT","0","0","  2 ","  46 ","  2 ","  2 ","0","0","  7,156 ","  5,709 ","  1,458 ","0","0","0","0","  37 ","0","  1,422 ","  2,594 ","0","  2,594 ","  1,490 ","  1,104 ","  6,564 ","  5,106 ","  1,458 ","0","0","  1,458 ","0","0","0","0","0","- 37 ","0","0","0","0","0","  37 "
"2,023","2","1","BG","  6 ","  0 ","  1 ","  2 ","  1 ","0","  1 ","0","  656 ","  570 ","  85 ","0","0","0","0","0","0","  85 ","  84 ","  18 ","  67 ","0","  84 ","0","0","0","0","0","0","  656 ","  570 ","  85 ","0","0","  85 ","0","0","0","0","0","0"
"2,023","2","1","BR","  2,744 ","  478 ","  660 ","  1,909 ","  571 ","  197 ","  487 ","  121 ","  646,571 ","  614,892 ","  32,061 ","  674 ","  1,010 ","  3,459 ","  5,214 ","  1,402 ","  108 ","  26,553 ","  65,754 ","  8,649 ","  57,105 ","  39,370 ","  26,384 ","  56,505 ","  52,923 ","  3,582 ","  2,258 ","  2,064 ","  1,518 ","  390,391 ","  370,070 ","  20,321 ","  2,868 ","  1,395 ","  17,416 ","  197,058 ","  188,900 ","  8,158 ","  8,158 ","  539 ","  5,508 "
"2,023","2","1","CA","  146 ","  40 ","  141 ","  583 ","  102 ","  88 ","  84 ","  12 ","  378,206 ","  356,101 ","  22,312 ","  7 ","  1,057 ","  16,698 ","  14,451 ","  1,158 ","  169 ","  4,288 ","  62,950 ","  6,697 ","  56,253 ","  64,265 ","- 1,315 ","  104,189 ","  99,077 ","  5,112 ","  1,757 ","  2,051 ","  3,061 ","  149,784 ","  138,434 ","  11,350 ","  12,451 ","  14,363 ","- 4,340 ","  120,309 ","  114,459 ","  5,850 ","  5,850 ","0","  18,024 "
"2,023","2","1","CH","0","0","  0 ","  6 ","  0 ","  0 ","0","  0 ","  5,021 ","  4,625 ","  397 ","0","0","0","0","0","0","  397 ","  622 ","0","  622 ","0","  622 ","  4,985 ","  4,590 ","  396 ","0","0","  396 ","0","0","0","0","0","0","  1 ","0","  1 ","  1 ","0","0"
"2,023","2","1","CL","  429 ","  83 ","  115 ","  318 ","  98 ","  68 ","  58 ","  12 ","  81,608 ","  73,446 ","  8,257 ","0","  108 ","  984 ","  1,441 ","  375 ","  8 ","  6,890 ","  12,141 ","  2,010 ","  10,131 ","  4,713 ","  7,428 ","  23,019 ","  19,191 ","  3,828 ","  921 ","  842 ","  2,986 ","  55,162 ","  51,321 ","  3,841 ","  515 ","  141 ","  3,316 ","  3,401 ","  2,813 ","  588 ","  588 ","0","  1,367 "
"2,023","2","1","FI","  481 ","  415 ","  1,314 ","  10,378 ","  1,154 ","  477 ","  1,061 ","  131 ","  4,212,120 ","  3,963,513 ","  250,046 ","  1,896 ","  7,551 ","  28,279 ","  27,560 ","  21,447 ","  597 ","  194,809 ","  649,695 ","  22,587 ","  627,108 ","  445,752 ","  203,944 ","  648,399 ","  598,918 ","  49,481 ","  10,680 ","  13,098 ","  36,383 ","  3,194,155 ","  3,004,080 ","  190,075 ","  16,365 ","  15,132 ","  152,899 ","  347,814 ","  337,324 ","  10,490 ","  10,490 ","  4,914 ","  55,236 "
"2,023","2","1","HU","  0 ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2,023","2","1","IE","0","0","  1 ","  6 ","  1 ","  1 ","  0 ","0","  68,129 ","  66,596 ","  1,533 ","0","0","  1,245 ","  455 ","0","0","  287 ","  4,008 ","0","  4,008 ","  3,720 ","  287 ","  8,389 ","  7,502 ","  887 ","  455 ","  1,245 ","- 358 ","  59,721 ","  59,075 ","  646 ","0","0","  646 ","0","0","0","0","0","  1,245 "
